Date,Open,High,Low,Sentiment,Close
11/3/2021,63254.33594,63516.9375,61184.23828,76,62970.04688
11/4/2021,62941.80469,63123.28906,60799.66406,73,61452.23047
11/5/2021,61460.07813,62541.46875,60844.60938,73,61125.67578
11/6/2021,61068.875,61590.68359,60163.78125,71,61527.48047
11/7/2021,61554.92188,63326.98828,61432.48828,73,63326.98828
11/8/2021,63344.06641,67673.74219,63344.06641,75,67566.82813
11/9/2021,67549.73438,68530.33594,66382.0625,84,66971.82813
11/10/2021,66953.33594,68789.625,63208.11328,75,64995.23047
11/11/2021,64978.89063,65579.01563,64180.48828,77,64949.96094
11/12/2021,64863.98047,65460.81641,62333.91406,74,64155.94141
11/13/2021,64158.12109,64915.67578,63303.73438,72,64469.52734
11/14/2021,64455.37109,65495.17969,63647.80859,74,65466.83984
11/15/2021,65521.28906,66281.57031,63548.14453,72,63557.87109
11/16/2021,63721.19531,63721.19531,59016.33594,71,60161.24609
11/17/2021,60139.62109,60823.60938,58515.41016,52,60368.01172
11/18/2021,60360.13672,60948.5,56550.79297,54,56942.13672
11/19/2021,56896.12891,58351.11328,55705.17969,34,58119.57813
11/20/2021,58115.08203,59859.87891,57469.72656,43,59697.19531
11/21/2021,59730.50781,60004.42578,58618.92969,49,58730.47656
11/22/2021,58706.84766,59266.35938,55679.83984,50,56289.28906
11/23/2021,56304.55469,57875.51563,55632.76172,33,57569.07422
11/24/2021,57565.85156,57803.06641,55964.22266,42,56280.42578
11/25/2021,57165.41797,59367.96875,57146.68359,32,57274.67969
11/26/2021,58960.28516,59183.48047,53569.76563,47,53569.76563
11/27/2021,53736.42969,55329.25781,53668.35547,21,54815.07813
11/28/2021,54813.02344,57393.84375,53576.73438,27,57248.45703
11/29/2021,57291.90625,58872.87891,56792.52734,33,57806.56641
11/30/2021,57830.11328,59113.40234,56057.28125,40,57005.42578
12/1/2021,56907.96484,59041.68359,56553.08203,34,57229.82813
12/2/2021,57217.37109,57349.23438,55895.13281,32,56477.81641
12/3/2021,56509.16406,57482.16797,52496.58594,31,53598.24609
12/4/2021,53727.87891,53904.67969,42874.61719,25,49200.70313
12/5/2021,49201.51953,49768.14844,47857.49609,18,49368.84766
12/6/2021,49413.48047,50929.51953,47281.03516,16,50582.625
12/7/2021,50581.82813,51934.78125,50175.80859,25,50700.08594
12/8/2021,50667.64844,51171.375,48765.98828,28,50504.79688
12/9/2021,50450.08203,50797.16406,47358.35156,29,47672.12109
12/10/2021,47642.14453,50015.25391,47023.69922,24,47243.30469
12/11/2021,47264.63281,49458.21094,46942.34766,16,49362.50781
12/12/2021,49354.85547,50724.86719,48725.85156,27,50098.33594
12/13/2021,50114.74219,50205,45894.84766,28,46737.48047
12/14/2021,46709.82422,48431.39844,46424.49609,21,46612.63281
12/15/2021,48379.75391,49473.95703,46671.96484,28,48896.72266
12/16/2021,48900.46484,49425.57422,47529.87891,29,47665.42578
12/17/2021,47653.73047,48004.89453,45618.21484,23,46202.14453
12/18/2021,46219.25391,47313.82813,45598.44141,24,46848.77734
12/19/2021,46853.86719,48089.66406,46502.95313,29,46707.01563
12/20/2021,46707.0625,47401.71875,45579.80859,25,46880.27734
12/21/2021,46886.07813,49300.91797,46698.77344,27,48936.61328
12/22/2021,48937.09766,49544.79688,48450.94141,45,48628.51172
12/23/2021,48626.34375,51332.33984,48065.83594,34,50784.53906
12/24/2021,50806.05078,51814.02734,50514.49609,41,50822.19531
12/25/2021,50854.91797,51176.59766,50236.70703,39,50429.85938
12/26/2021,50428.69141,51196.37891,49623.10547,37,50809.51563
12/27/2021,50802.60938,51956.32813,50499.46875,40,50640.41797
12/28/2021,50679.85938,50679.85938,47414.21094,41,47588.85547
12/29/2021,47623.87109,48119.74219,46201.49609,27,46444.71094
12/30/2021,46490.60547,47879.96484,46060.3125,22,47178.125
12/31/2021,47169.37109,48472.52734,45819.95313,28,46306.44531
1/1/2022,46311.74609,47827.3125,46288.48438,21,47686.8125
1/2/2022,47680.92578,47881.40625,46856.9375,29,47345.21875
1/3/2022,47343.54297,47510.72656,45835.96484,29,46458.11719
1/4/2022,46458.85156,47406.54688,45752.46484,23,45897.57422
1/5/2022,45899.35938,46929.04688,42798.22266,24,43569.00391
1/6/2022,43565.51172,43748.71875,42645.53906,15,43160.92969
